#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,http://ds.iris.edu
AK|BESE|58.579201|-134.855896|867.0|Bessie Mountain, AK, USA|2003-09-20T00:00:00|2599-12-31T23:59:59
AK|BGLC|60.1205|-143.2841|10.0|Bering Glacier BLM Camp, AK, USA|2005-07-16T00:00:00|2599-12-31T23:59:59
AK|BMR|60.9677|-144.6051|842.0|Bremner River, AK, USA|2000-08-07T00:00:00|2599-12-31T23:59:59
AK|BRLK|59.7511|-150.9063|409.0|Bradley Lake, AK, USA|2008-07-01T00:00:00|2599-12-31T23:59:59
AK|C16K|68.2746|-165.3436|102.0|Lisburne Hills, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|C18K|68.6483|-161.1943|845.0|Utukok River, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|C19K|69.1049|-159.5874|745.0|Lookout Ridge, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|C21K|69.1565|-154.7833|409.0|Knifeblade Ridge, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|C23K|69.836|-150.6126|179.0|Itkillik River, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|C26K|69.9175|-144.9122|139.0|Camden Bay, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|C27K|69.626|-143.7114|392.0|Jago River, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|CAPN|60.768299|-151.1539|47.0|Captain Cook Nikiski, AK, USA|2013-07-01T00:00:00|2599-12-31T23:59:59
AK|CAST|63.4188|-152.084396|611.0|Castle Rocks, AK, USA|2006-08-05T00:00:00|2599-12-31T23:59:59
AK|CCB|64.645302|-147.805298|233.0|Clear Creek Butte, AK, USA|2009-06-30T00:00:00|2599-12-31T23:59:59
AK|CDVT|60.493599|-145.469604|152.0|Cordova Airport, AK, USA|2010-11-10T00:00:00|2599-12-31T23:59:59
AK|CHI|55.8218|-155.6225|203.0|Chirikof Island, AK, USA|2008-09-15T00:00:00|2599-12-31T23:59:59
AK|CHN|54.831001|-159.589493|71.0|Chernabura Island, AK, USA|2013-06-27T00:00:00|2599-12-31T23:59:59
AK|CHUM|63.882702|-152.315201|217.0|Lake Minchumina, AK, USA|2004-06-02T00:00:00|2599-12-31T23:59:59
AK|CHX|60.063099|-141.117798|1085.0|Chaix Hills, AK, USA|2018-09-05T00:00:00|2599-12-31T23:59:59
AK|CNP|59.5251|-151.2373|564.0|China Poot, AK, USA|2008-07-24T00:00:00|2599-12-31T23:59:59
AK|CRQ|60.7523|-143.092606|1392.3|Cirque, AK, USA|2010-06-20T00:00:00|2599-12-31T23:59:59
AK|CUT|62.4058|-150.262497|574.0|Chulitna, AK, USA|2014-05-15T00:00:00|2599-12-31T23:59:59
AK|CYK|60.082298|-142.487198|23.0|Cape Yakataga, AK, USA|2010-07-21T00:00:00|2599-12-31T23:59:59
AK|D17K|67.6988|-163.0831|172.0|Noatak River, AK, USA|2020-10-21T00:00:00|2599-12-31T23:59:59
AK|D20K|68.7132|-156.6132|577.0|Etivluk River, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|D22K|68.8799|-152.6821|532.0|Ayikyak River, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|D24K|69.1532|-148.8233|292.0|Happy Valley, AK, USA|2020-10-02T00:00:00|2599-12-31T23:59:59
AK|D25K|69.322|-146.3751|770.0|Kavik River, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|DAM2|59.755299|-150.855499|363.0|Bradley Dam 2, AK, USA|2009-06-20T00:00:00|2599-12-31T23:59:59
AK|DHY|63.075298|-147.3759|1611.0|Denali Highway, AK, USA|2008-07-09T00:00:00|2599-12-31T23:59:59
AK|DIV|61.1292|-145.7749|941.4|Divide Microwave, AK, USA|1999-01-07T00:00:00|2599-12-31T23:59:59
AK|DOT|63.648201|-144.069702|670.0|Dot Lake, AK, USA|2003-10-15T00:00:00|2599-12-31T23:59:59
AK|E18K|67.4213|-160.6027|297.0|Tukpahlearik Creek, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|E19K|67.4572|-157.2316|441.0|Redstone River, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|E21K|68.4414|-153.9721|653.0|Killik River, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|E24K|68.0748|-148.4868|847.0|Your Creek, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|E27K|68.1861|-141.5951|654.0|Coleen River, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|ER01|61.3237|-149.5412|198.0|Skyline Family Fellowship, Eagle River, AK, USA|2021-01-06T00:00:00|2599-12-31T23:59:59
AK|ER02|61.3166|-149.5721|104.0|Eagle River Fire Station 11, Eagle River, AK, USA|2020-11-03T00:00:00|2599-12-31T23:59:59
AK|ER03|61.3145|-149.5466|151.0|Homestead Elementary School, Eagle River, AK, USA|2021-02-24T00:00:00|2599-12-31T23:59:59
AK|ER04|61.3453|-149.5476|119.0|Fire Lake Elementary School, Eagle River, AK, USA|2021-02-24T00:00:00|2599-12-31T23:59:59
AK|EYAK|60.548698|-145.75|133.9|Cordova Ski Area, AK, USA|2002-10-03T00:00:00|2599-12-31T23:59:59
AK|F15K|65.7077|-164.6483|388.0|North Star Ditch, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|F18K|66.6001|-159.6514|27.0|Selawik, AK, USA|2020-10-21T00:00:00|2599-12-31T23:59:59
AK|F20K|67.0486|-155.7251|136.0|Avaraart Lake, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|F21K|67.2221|-153.483|597.0|Alatna River, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|FA01|64.834801|-147.937103|263.0|Chena-GS Fire Station, Fairbanks, AK, USA|2002-11-15T00:00:00|2599-12-31T23:59:59
AK|FA02|64.845596|-148.009003|194.0|Ester Fire Station, AK, USA|2002-10-11T00:00:00|2599-12-31T23:59:59
AK|FA05|64.839302|-147.751602|135.0|Denali Elem. School, Fairbanks, AK, USA|2003-08-13T00:00:00|2599-12-31T23:59:59
AK|FA06|64.8461|-147.695694|136.0|Nordale Elem. School, Fairbanks, AK, USA|2003-08-13T00:00:00|2599-12-31T23:59:59
AK|FA07|64.826698|-147.694595|135.0|Arctic Light Elem. School, Fairbanks, AK, USA|2003-08-13T00:00:00|2599-12-31T23:59:59
AK|FA09|64.8377|-147.8172|135.0|DNR, Fairbanks, AK, USA|2003-07-28T00:00:00|2599-12-31T23:59:59
AK|FA10|64.818604|-147.778397|133.0|Bus Barn, Fairbanks, AK, USA|2003-06-30T00:00:00|2599-12-31T23:59:59
AK|FA11|64.8536|-147.8382|137.0|Cold Climate Housing Res. Cntr, Fairbanks, AK, USA|2015-02-04T00:00:00|2599-12-31T23:59:59
AK|FA12|64.826897|-147.868393|436.0|Watershed School, Fairbanks, AK, USA|2007-11-09T00:00:00|2599-12-31T23:59:59
AK|FIRE|61.142601|-150.2164|62.0|Fire Island, AK, USA|2013-07-20T00:00:00|2599-12-31T23:59:59
AK|FYU|66.565697|-145.234207|137.0|Fort Yukon, AK, USA|2009-07-23T00:00:00|2599-12-31T23:59:59
AK|G17K|65.5011|-160.6514|338.0|Kiwalik Mountain, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|G19K|66.1434|-157.087|391.0|Purcell Mountains, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|G23K|66.7108|-150.0239|746.0|Bananza Creek, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|G24K|66.7004|-147.4754|503.0|Hadweenzic River, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|G27K|66.8088|-141.6549|686.0|Doyon Strip, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|GAMB|63.775799|-171.703598|5.0|Gambell, AK, USA|2002-02-23T00:00:00|2599-12-31T23:59:59
AK|GCSA|64.746101|-156.879196|45.0|Galena City School, AK, USA|2015-07-01T00:00:00|2599-12-31T23:59:59
AK|GHO|61.771|-148.925995|1032.0|Gloryhole, AK, USA|2011-05-30T00:00:00|2599-12-31T23:59:59
AK|GLB|61.4417|-143.8123|854.9|Gilahina Butte, AK, USA|2010-09-12T00:00:00|2599-12-31T23:59:59
AK|GLI|60.8792|-147.095901|430.0|Glacier Island, AK, USA|2010-07-26T00:00:00|2599-12-31T23:59:59
AK|GOAT|60.580502|-144.729202|895.5|Goat Mountain, AK, USA|2013-01-01T00:00:00|2599-12-31T23:59:59
AK|GREN|63.9738|-145.6949|414.0|Z|2020-09-22T00:00:00|2599-12-31T23:59:59
AK|GRES|63.9451|-145.7281|445.0|Z|2020-09-29T00:00:00|2599-12-31T23:59:59
AK|GRNC|60.731499|-141.755798|2116.0|Granite Creek, AK, USA|2013-01-01T00:00:00|2599-12-31T23:59:59
AK|H16K|64.6379|-162.239|216.0|Elim, AK, USA|2020-09-29T00:00:00|2599-12-31T23:59:59
AK|H17K|64.937|-159.9126|396.0|Granite Mountain, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|H20K|65.4924|-154.8808|514.0|Anotleneega Mountain, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|H21K|65.6571|-152.805|520.0|Melozitna River, AK, USA|2019-10-04T00:00:00|2599-12-31T23:59:59
AK|H22K|65.8937|-151.3773|561.0|Ishtalitna Creek, AK, USA|2019-10-04T00:00:00|2599-12-31T23:59:59
AK|H24K|65.8371|-147.8781|814.0|Noodor Dome, AK, USA|2019-10-04T00:00:00|2599-12-31T23:59:59
AK|HDA|64.4091|-146.9482|437.0|Harding Lake, AK, USA|2012-10-01T00:00:00|2599-12-31T23:59:59
AK|HIN|60.396|-146.503494|622.9|Hinchinbrook, AK, USA|2009-11-01T00:00:00|2599-12-31T23:59:59
AK|HOM|59.6572|-151.651505|221.0|Homer Trailer, AK, USA|2009-06-18T00:00:00|2599-12-31T23:59:59
AK|I21K|65.18|-151.9822|248.0|Tanana, AK, USA|2019-12-02T00:00:00|2599-12-31T23:59:59
AK|I23K|65.1479|-149.3603|149.0|Minto, Yukon-Koyukuk, AK, USA|2019-09-17T00:00:00|2599-12-31T23:59:59
AK|I26K|65.3064|-143.1541|338.0|Coal Creek Mining Camp, AK, USA|2019-09-17T00:00:00|2599-12-31T23:59:59
AK|I27K|65.6035|-141.6153|874.0|Kandik River, AK, USA|2019-10-04T00:00:00|2599-12-31T23:59:59
AK|J17K|63.3965|-159.0777|323.0|VABM Dome, AK, USA|2019-10-04T00:00:00|2599-12-31T23:59:59
AK|J19K|63.994|-155.6214|389.0|Poorman, AK, USA|2019-10-04T00:00:00|2599-12-31T23:59:59
AK|J20K|64.1767|-154.1467|314.0|Nowitna River, AK, USA|2019-10-04T00:00:00|2599-12-31T23:59:59
AK|J25K|64.613|-145.3697|949.0|Salcha River, AK, USA|2019-10-04T00:00:00|2599-12-31T23:59:59
AK|J26L|64.5012|-143.5636|1144.0|Joseph Creek, AK, USA|2019-10-04T00:00:00|2599-12-31T23:59:59
AK|JIS|58.275799|-134.384796|10.0|Juneau Island, AK, USA|2001-04-11T00:00:00|2599-12-31T23:59:59
AK|K13K|61.9331|-164.6555|204.2|Kusilvak Mountain, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|K203|61.2201|-149.7453|79.0|Anchorage, St Christopher Episcopal Church, AK, US|2009-07-01T00:00:00|2599-12-31T23:59:59
AK|K204|61.1758|-150.011505|30.0|Anchorage, Signature Flight Support, AK, USA|2009-07-01T00:00:00|2599-12-31T23:59:59
AK|K205|61.199402|-149.916306|51.0|Anchorage, West High School, AK, USA|2013-01-24T00:00:00|2599-12-31T23:59:59
AK|K208|61.1763|-149.9216|20.0|Anchorage, Spenard Recreation Center, AK, USA|1995-08-01T00:00:00|2599-12-31T23:59:59
AK|K209|61.184601|-149.747192|96.0|Anchorage, Scenic Park Bible Church, AK, USA|2009-07-01T00:00:00|2599-12-31T23:59:59
AK|K20K|63.3569|-154.07|548.0|Telida, AK, USA|2019-10-04T00:00:00|2599-12-31T23:59:59
AK|K210|61.1292|-149.931|17.0|Anchorage, Mears Jr High School, AK, USA|1995-08-01T00:00:00|2599-12-31T23:59:59
AK|K211|61.149101|-149.857803|34.0|Anchorage, Fire Department HQ 12, AK, USA|2011-02-03T00:00:00|2599-12-31T23:59:59
AK|K212|61.155602|-149.793396|70.0|Anchorage, BLM Office, AK, USA|2009-07-01T00:00:00|2599-12-31T23:59:59
AK|K213|61.112801|-149.859497|51.0|Anchorage, ASD Operation Center, AK, USA|1995-08-01T00:00:00|2599-12-31T23:59:59
AK|K214|61.123501|-149.7677|175.0|Anchorage, OMalley Fire Station, AK, USA|2008-07-01T00:00:00|2599-12-31T23:59:59
AK|K215|61.086201|-149.752106|284.0|Anchorage, Rabbit Creek Fire Station, AK, USA|1995-08-01T00:00:00|2599-12-31T23:59:59
AK|K217|61.396|-149.515503|72.0|Chugiak Fire Station, AK, USA|1995-08-01T00:00:00|2599-12-31T23:59:59
AK|K218|61.592602|-149.133194|87.0|Palmer, National Tsunami Warning Center, AK, USA|2009-11-01T00:00:00|2599-12-31T23:59:59
AK|K220|61.153999|-150.055206|68.0|Anchorage, Kincaid Park, AK, USA|2009-07-01T00:00:00|2599-12-31T23:59:59
AK|K221|61.1525|-149.951202|38.0|Anchorage, St. James Orthodox Church, AK, USA|2009-07-01T00:00:00|2599-12-31T23:59:59
AK|K222|61.087601|-149.836594|39.0|Anchorage, Chapel by the Sea, AK, USA|2009-07-01T00:00:00|2599-12-31T23:59:59
AK|K223|61.233799|-149.867493|43.0|Anchorage, Government Hill Elem. School, AK, USA|2009-11-03T00:00:00|2599-12-31T23:59:59
AK|K24K|63.8036|-145.7784|724.0|Donnelly Dome, AK, USA|2019-10-17T00:00:00|2599-12-31T23:59:59
AK|K27K|64.0292|-142.0758|732.0|Chicken, AK, USA|2019-12-19T00:00:00|2599-12-31T23:59:59
AK|KAI|59.9268|-144.418793|316.0|Kayak Island, AK, USA|2011-07-10T00:00:00|2599-12-31T23:59:59
AK|KIAG|60.9231|-142.360504|1752.2|Kiagna River, AK, USA|2013-01-01T00:00:00|2599-12-31T23:59:59
AK|KLU|61.4924|-145.9227|1047.1|Klutina Pass, AK, USA|2008-09-13T00:00:00|2599-12-31T23:59:59
AK|KNK|61.413101|-148.458496|598.0|Knik Glacier, AK, USA|2010-06-13T00:00:00|2599-12-31T23:59:59
AK|L14K|61.3416|-162.6829|41.0|Kuka Creek, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|L16K|61.7105|-159.4747|227.0|Owhat River, AK, USA|2020-10-21T00:00:00|2599-12-31T23:59:59
AK|L17K|62.1344|-158.2972|338.0|Donlin, AK, USA|2020-05-01T00:00:00|2599-12-31T23:59:59
AK|L18K|62.2195|-156.6886|329.0|Granite Mountain, AK, USA|2019-10-04T00:00:00|2599-12-31T23:59:59
AK|L19K|62.1816|-154.8543|650.0|White Mountain, AK, USA|2019-10-04T00:00:00|2599-12-31T23:59:59
AK|L20K|62.4787|-153.8798|673.0|Farewell, AK, USA|2019-10-04T00:00:00|2599-12-31T23:59:59
AK|L22K|62.5258|-150.7703|817.0|Petersville, AK, USA|2019-10-17T00:00:00|2599-12-31T23:59:59
AK|LOGN|60.824001|-141.004807|1663.1|Logan Glacier, AK, USA|2013-01-01T00:00:00|2599-12-31T23:59:59
AK|M11K|60.3849|-166.2011|3.0|Mekoryuk, AK, USA|2020-10-21T00:00:00|2599-12-31T23:59:59
AK|M14K|60.7515|-161.96|19.0|Bethel, AK, USA|2020-10-21T00:00:00|2599-12-31T23:59:59
AK|M16K|61.0224|-158.9593|394.0|Timber Creek, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|M19K|61.9037|-154.3915|521.0|Big River Lodge, Big River, AK, USA|2019-09-10T00:00:00|2599-12-31T23:59:59
AK|M20K|61.8823|-153.1318|1107.0|Styx River, AK, USA|2019-10-14T00:00:00|2599-12-31T23:59:59
AK|M23K|61.7929|-147.7262|583.0|Glacier View, AK, USA|2020-04-17T00:00:00|2599-12-31T23:59:59
AK|M26K|62.4013|-142.9963|888.0|Nabesna, AK, USA|2019-10-04T00:00:00|2599-12-31T23:59:59
AK|M27K|62.3579|-141.878|1536.0|Edge Creek, AK, USA|2019-10-04T00:00:00|2599-12-31T23:59:59
AK|MCAR|61.383598|-143.024002|447.0|McCarthy VSAT, AK, USA|2013-01-01T00:00:00|2599-12-31T23:59:59
AK|MCK|63.7318|-148.937302|618.0|McKinley Park, AK, USA|1998-08-15T00:00:00|2599-12-31T23:59:59
AK|MDM|64.9602|-148.2319|631.0|Murphy Dome, AK, USA|2008-08-15T00:00:00|2599-12-31T23:59:59
AK|MESA|60.1782|-141.949799|1907.0|Mesa, AK, USA|2018-09-08T00:00:00|2599-12-31T23:59:59
AK|MLY|65.030403|-150.744202|812.0|Manley Hot Springs, AK, USA|2009-08-05T00:00:00|2599-12-31T23:59:59
AK|MS01|61.5802|-149.4946|109.0|Burchell High School, Wasilla, AK, USA|2021-02-26T00:00:00|2599-12-31T23:59:59
AK|MS02|61.5904|-149.7689|74.0|Houston High School, Houston, AK, USA|2021-02-26T00:00:00|2599-12-31T23:59:59
AK|N15K|60.1686|-160.0921|449.0|Kwethluk River, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|N18K|60.6801|-155.8897|572.0|Kilae Creek, AK, USA|2019-10-04T00:00:00|2599-12-31T23:59:59
AK|N19K|60.8132|-154.4838|1144.0|Bonanza Creek NPS repeater, AK, USA|2019-10-04T00:00:00|2599-12-31T23:59:59
AK|NEA2|64.5928|-149.0694|450.0|Nenana, AK, USA|2014-06-12T00:00:00|2599-12-31T23:59:59
AK|NIKI|60.6726|-151.3523|41.0|Nikiski AGDC plant, AK, USA|2021-01-07T00:00:00|2599-12-31T23:59:59
AK|O14K|59.2533|-161.2638|129.0|Tigyukauivet Mountain, AK, USA|2020-09-23T00:00:00|2599-12-31T23:59:59
AK|O18K|59.8542|-155.208|544.0|Koktuh Hills, AK, USA|2019-08-27T00:00:00|2599-12-31T23:59:59
AK|O19K|60.1952|-154.3201|96.0|Port Alsworth, AK, USA|2019-11-13T00:00:00|2599-12-31T23:59:59
AK|O20K|60.0815|-152.624|915.0|Slope Mountain, AK, USA|2019-12-19T00:00:00|2599-12-31T23:59:59
AK|P08K|56.6011|-169.5484|36.0|Saint George Island, AK, USA|2019-11-13T00:00:00|2599-12-31T23:59:59
AK|P16K|59.0314|-157.9906|85.9|Nushagak River, AK, USA|2019-12-02T00:00:00|2599-12-31T23:59:59
AK|P17K|59.1953|-156.4394|91.0|Kvichak River, AK, USA|2019-12-02T00:00:00|2599-12-31T23:59:59
AK|P23K|59.9979|-147.4031|287.0|Montague Island, AK, USA|2019-08-27T00:00:00|2599-12-31T23:59:59
AK|PAX|62.969898|-145.469894|1150.0|Paxson, AK, USA|2003-10-06T00:00:00|2599-12-31T23:59:59
AK|PIN|60.095901|-140.252502|975.0|Pinnacle, AK, USA|2003-05-28T00:00:00|2599-12-31T23:59:59
AK|PNL|59.667|-139.401398|586.0|Peninsula, AK, USA|2001-08-16T00:00:00|2599-12-31T23:59:59
AK|POKR|65.1171|-147.4335|501.0|Poker Flat Research Range, AK, USA|2020-02-12T00:00:00|2599-12-31T23:59:59
AK|PPD|65.517403|-145.524597|1505.0|Porcupine Dome, AK, USA|2011-09-05T00:00:00|2599-12-31T23:59:59
AK|PPLA|62.896198|-152.189407|1519.0|Purkeypile, AK, USA|2002-12-11T00:00:00|2599-12-31T23:59:59
AK|PS01|70.258|-148.6141|9.0|TAPS Pump Station 1, AK, USA|2020-06-01T00:00:00|2599-12-31T23:59:59
AK|PS04|68.4215|-149.3568|849.0|TAPS Pump Station 4, AK, USA|2020-06-01T00:00:00|2599-12-31T23:59:59
AK|PS05|66.8133|-150.6646|327.0|TAPS Pump Station 5, AK, USA|2020-06-01T00:00:00|2599-12-31T23:59:59
AK|PS06|65.8545|-149.7369|280.0|TAPS Pump Station 6, AK, USA|2020-06-01T00:00:00|2599-12-31T23:59:59
AK|PS07|65.3106|-148.2791|289.0|TAPS Pump Station 7, AK, USA|2020-06-01T00:00:00|2599-12-31T23:59:59
AK|PS08|64.5422|-146.8221|320.0|TAPS Pump Station 8, AK, USA|2020-06-01T00:00:00|2599-12-31T23:59:59
AK|PS09|63.9299|-145.7682|468.0|TAPS Pump Station 9, AK, USA|2020-06-01T00:00:00|2599-12-31T23:59:59
AK|PS10|63.4229|-145.7684|738.0|TAPS Pump Station 10, AK, USA|2020-06-01T00:00:00|2599-12-31T23:59:59
AK|PS11|62.0789|-145.4751|375.0|TAPS Pump Station 11, AK, USA|2020-06-01T00:00:00|2599-12-31T23:59:59
AK|PS12|61.4749|-145.1458|562.7|TAPS Pump Station 12, AK, USA|2020-06-01T00:00:00|2599-12-31T23:59:59
AK|PTPK|61.187099|-142.467194|1892.6|Patty Peak Repeater, AK, USA|2013-01-01T00:00:00|2599-12-31T23:59:59
AK|PWL|60.858398|-148.333405|550.0|Port Wells, AK, USA|2010-09-13T00:00:00|2599-12-31T23:59:59
